NOMMER,VAAR,MOER,GR,YR,SEX,BDAT,WDAT
878012,850190,853890,2,87,1,1987/03/01,1987/06/09
878022,853450,831880,2,87,1,1987/03/01,1987/06/09
878032,853460,821910,2,87,2,1987/03/01,1987/06/09
878042,850190,830710,2,87,1,1987/03/01,1987/06/09
878052,850190,830710,2,87,2,1987/03/01,1987/06/09
878062,852080,842000,2,87,2,1987/03/01,1987/06/09
878072,851190,851500,2,87,1,1987/03/01,1987/06/09
878082,850190,853890,2,87,2,1987/03/01,1987/06/09
878092,851190,854290,2,87,1,1987/03/01,1987/06/09
878102,842840,810040,2,87,1,1987/03/01,1987/06/09
878112,851190,854290,2,87,2,1987/03/01,1987/06/09
878122,842840,810040,2,87,2,1987/03/01,1987/06/09
878132,853460,821910,2,87,1,1987/03/01,1987/06/09
878142,853450,811820,2,87,2,1987/03/01,1987/06/09
878152,850190,814410,2,87,2,1987/03/01,1987/06/09
878163,852340,852550,3,87,1,1987/03/01,1987/06/09
878173,852340,851350,3,87,2,1987/03/01,1987/06/09
878183,854910,833210,3,87,2,1987/03/01,1987/06/09
878193,854910,833520,3,87,2,1987/03/01,1987/06/09
878203,854910,831600,3,87,1,1987/03/01,1987/06/09
878213,854910,831600,3,87,1,1987/03/01,1987/06/09
878223,854910,831600,3,87,2,1987/03/01,1987/06/09
878233,854910,810020,3,87,1,1987/03/01,1987/06/09
878243,852340,842460,3,87,1,1987/03/01,1987/06/09
878253,850210,821690,3,87,1,1987/03/01,1987/06/09
878263,850210,812380,3,87,1,1987/03/01,1987/06/09
878273,852340,852090,3,87,2,1987/03/01,1987/06/09
878282,853460,833060,2,87,1,1987/03/01,1987/06/09
878293,850980,852580,3,87,1,1987/03/01,1987/06/09
880032,864261,833060,2,88,2,1988/03/01,1988/06/09
880082,864261,832620,2,88,2,1988/03/01,1988/06/09
880192,861831,865242,2,88,1,1988/03/01,1988/06/09
880202,860181,862192,2,88,1,1988/03/01,1988/06/09
880212,860181,862192,2,88,2,1988/03/01,1988/06/09
880222,861831,840900,2,88,1,1988/03/01,1988/06/09
880292,863671,851640,2,88,1,1988/03/01,1988/06/09
880303,863453,862163,3,88,2,1988/03/01,1988/06/09
880333,862751,862213,3,88,1,1988/03/01,1988/06/09
880343,864211,861933,3,88,2,1988/03/01,1988/06/09
880373,861261,850120,3,88,2,1988/03/01,1988/06/09
880383,863453,833090,3,88,2,1988/03/01,1988/06/09
880393,863453,833090,3,88,2,1988/03/01,1988/06/09
880402,860171,840720,2,88,1,1988/03/01,1988/06/09
880412,863671,840960,2,88,1,1988/03/01,1988/06/09
880422,863671,840960,2,88,1,1988/03/01,1988/06/09
880462,860181,845340,2,88,2,1988/03/01,1988/06/09
880473,861261,861705,3,88,1,1988/03/01,1988/06/09
880482,860181,860905,2,88,2,1988/03/01,1988/06/09
880502,861831,850990,2,88,2,1988/03/01,1988/06/09
880512,860171,854290,2,88,2,1988/03/01,1988/06/09
880653,862751,854810,3,88,2,1988/03/01,1988/06/09
880663,861261,851990,3,88,1,1988/03/01,1988/06/09
880673,862751,844610,3,88,1,1988/03/01,1988/06/09
880683,862751,844610,3,88,2,1988/03/01,1988/06/09
880802,860171,860642,2,88,2,1988/03/01,1988/06/09
880812,863671,850260,2,88,1,1988/03/01,1988/06/09
880822,863671,850260,2,88,2,1988/03/01,1988/06/09
880833,862751,860423,3,88,1,1988/03/01,1988/06/09
880843,862751,863893,3,88,2,1988/03/01,1988/06/09
880853,864211,820900,3,88,2,1988/03/01,1988/06/09
880952,863671,860751,2,88,2,1988/03/01,1988/06/09
880962,860181,843770,2,88,2,1988/03/01,1988/06/09
880972,860181,843770,2,88,2,1988/03/01,1988/06/09
880982,860171,861555,2,88,2,1988/03/01,1988/06/09
880992,860171,842960,2,88,2,1988/03/01,1988/06/09
881002,860171,842960,2,88,2,1988/03/01,1988/06/09
881182,860171,842330,2,88,1,1988/03/01,1988/06/09
881192,860171,842330,2,88,2,1988/03/01,1988/06/09
881202,860171,864682,2,88,2,1988/03/01,1988/06/09
881213,863453,852630,3,88,2,1988/03/01,1988/06/09
881222,860171,862152,2,88,2,1988/03/01,1988/06/09
881233,861261,830880,3,88,2,1988/03/01,1988/06/09
881242,860171,863001,2,88,2,1988/03/01,1988/06/09
881262,860181,854340,2,88,1,1988/03/01,1988/06/09
881272,860181,854340,2,88,2,1988/03/01,1988/06/09
881352,861831,852310,2,88,2,1988/03/01,1988/06/09
881363,862751,860063,3,88,2,1988/03/01,1988/06/09
881372,861831,850580,2,88,2,1988/03/01,1988/06/09
881392,860171,822690,2,88,2,1988/03/01,1988/06/09
881532,860171,834780,2,88,1,1988/03/01,1988/06/09
881542,860171,834780,2,88,2,1988/03/01,1988/06/09
881553,864211,842410,3,88,1,1988/03/01,1988/06/09
881562,860181,821910,2,88,1,1988/03/01,1988/06/09
